"Grove_Road","Charleville_Mall","Guild_Street","North_Strand_Rd_S_B","North_Strand_Rd_N_B","Time","Day","Month","Year"
12,1,5,4,16,"00:00:00",1,1,2019
17,1,6,8,14,"01:00:00",1,1,2019
18,2,2,9,9,"02:00:00",1,1,2019
18,1,3,5,15,"03:00:00",1,1,2019
12,1,5,3,8,"04:00:00",1,1,2019
15,4,5,4,9,"05:00:00",1,1,2019
9,6,6,12,9,"06:00:00",1,1,2019
24,1,12,9,9,"07:00:00",1,1,2019
28,0,12,11,11,"08:00:00",1,1,2019
25,1,13,13,10,"09:00:00",1,1,2019
26,3,9,27,12,"10:00:00",1,1,2019
38,1,13,20,18,"11:00:00",1,1,2019
35,0,18,12,21,"12:00:00",1,1,2019
39,1,15,17,31,"13:00:00",1,1,2019
38,1,17,12,20,"14:00:00",1,1,2019
37,0,25,20,21,"15:00:00",1,1,2019
46,0,12,11,21,"16:00:00",1,1,2019
39,4,16,11,16,"17:00:00",1,1,2019
45,1,12,4,28,"18:00:00",1,1,2019
51,4,10,3,16,"19:00:00",1,1,2019
33,2,12,9,20,"20:00:00",1,1,2019
20,4,9,2,17,"21:00:00",1,1,2019
19,2,4,5,9,"22:00:00",1,1,2019
23,2,3,3,17,"23:00:00",1,1,2019
10,0,2,1,9,"00:00:00",2,1,2019
3,0,1,1,1,"01:00:00",2,1,2019
3,0,1,0,2,"02:00:00",2,1,2019
4,0,1,2,0,"03:00:00",2,1,2019
10,1,2,7,6,"04:00:00",2,1,2019
25,0,17,13,2,"05:00:00",2,1,2019
84,2,76,55,12,"06:00:00",2,1,2019
233,5,96,152,39,"07:00:00",2,1,2019
538,18,172,356,40,"08:00:00",2,1,2019
207,7,86,149,24,"09:00:00",2,1,2019
57,4,36,42,22,"10:00:00",2,1,2019
70,2,20,31,23,"11:00:00",2,1,2019
52,1,32,35,25,"12:00:00",2,1,2019
66,2,27,42,43,"13:00:00",2,1,2019
71,6,32,41,38,"14:00:00",2,1,2019
86,2,27,23,76,"15:00:00",2,1,2019
188,7,53,45,162,"16:00:00",2,1,2019
386,4,113,62,322,"17:00:00",2,1,2019
270,7,88,16,187,"18:00:00",2,1,2019
109,6,36,2,79,"19:00:00",2,1,2019
81,2,20,3,37,"20:00:00",2,1,2019
56,4,13,4,35,"21:00:00",2,1,2019
34,2,11,5,34,"22:00:00",2,1,2019
18,0,7,4,24,"23:00:00",2,1,2019
9,1,4,1,7,"00:00:00",3,1,2019
6,0,0,1,7,"01:00:00",3,1,2019
4,0,2,0,4,"02:00:00",3,1,2019
6,0,2,1,5,"03:00:00",3,1,2019
14,0,2,4,5,"04:00:00",3,1,2019
23,0,23,24,3,"05:00:00",3,1,2019
89,4,88,79,12,"06:00:00",3,1,2019
281,6,109,146,48,"07:00:00",3,1,2019
639,20,194,428,56,"08:00:00",3,1,2019
290,5,109,193,27,"09:00:00",3,1,2019
77,4,38,42,14,"10:00:00",3,1,2019
64,3,24,26,17,"11:00:00",3,1,2019
86,3,27,39,33,"12:00:00",3,1,2019
89,5,39,38,35,"13:00:00",3,1,2019
77,8,30,20,60,"14:00:00",3,1,2019
101,4,39,27,70,"15:00:00",3,1,2019
207,7,63,45,143,"16:00:00",3,1,2019
460,8,131,74,373,"17:00:00",3,1,2019
334,11,99,15,240,"18:00:00",3,1,2019
140,6,44,16,98,"19:00:00",3,1,2019
89,8,23,6,53,"20:00:00",3,1,2019
51,6,14,3,35,"21:00:00",3,1,2019
50,6,26,5,31,"22:00:00",3,1,2019
27,3,7,4,29,"23:00:00",3,1,2019
6,4,6,5,22,"00:00:00",4,1,2019
10,1,0,1,10,"01:00:00",4,1,2019
1,1,1,0,8,"02:00:00",4,1,2019
8,1,1,1,5,"03:00:00",4,1,2019
12,0,2,3,3,"04:00:00",4,1,2019
27,0,19,15,6,"05:00:00",4,1,2019
93,3,69,50,11,"06:00:00",4,1,2019
238,10,102,105,41,"07:00:00",4,1,2019
580,13,177,367,53,"08:00:00",4,1,2019
288,8,110,164,26,"09:00:00",4,1,2019
70,4,41,49,18,"10:00:00",4,1,2019
56,4,28,35,25,"11:00:00",4,1,2019
80,7,36,30,31,"12:00:00",4,1,2019
71,4,31,24,44,"13:00:00",4,1,2019
90,5,35,33,65,"14:00:00",4,1,2019
115,5,38,32,83,"15:00:00",4,1,2019
186,7,70,48,148,"16:00:00",4,1,2019
375,13,119,41,257,"17:00:00",4,1,2019
285,8,80,16,182,"18:00:00",4,1,2019
122,5,38,6,52,"19:00:00",4,1,2019
74,2,21,3,27,"20:00:00",4,1,2019
39,2,19,2,23,"21:00:00",4,1,2019
52,4,14,4,28,"22:00:00",4,1,2019
40,3,11,4,34,"23:00:00",4,1,2019
24,1,8,3,16,"00:00:00",5,1,2019
10,2,3,0,9,"01:00:00",5,1,2019
9,0,2,1,9,"02:00:00",5,1,2019
10,0,1,0,9,"03:00:00",5,1,2019
6,1,3,3,5,"04:00:00",5,1,2019
18,0,12,7,5,"05:00:00",5,1,2019
25,0,12,14,8,"06:00:00",5,1,2019
46,0,28,26,7,"07:00:00",5,1,2019
50,1,19,22,11,"08:00:00",5,1,2019
71,1,21,37,21,"09:00:00",5,1,2019
59,2,33,25,18,"10:00:00",5,1,2019
85,5,30,30,24,"11:00:00",5,1,2019
73,4,20,22,30,"12:00:00",5,1,2019
79,1,43,26,42,"13:00:00",5,1,2019
85,2,34,29,37,"14:00:00",5,1,2019
87,5,27,27,38,"15:00:00",5,1,2019
118,1,21,27,43,"16:00:00",5,1,2019
74,7,28,41,43,"17:00:00",5,1,2019
84,5,30,19,36,"18:00:00",5,1,2019
80,2,20,12,36,"19:00:00",5,1,2019
51,5,11,11,36,"20:00:00",5,1,2019
43,3,9,0,17,"21:00:00",5,1,2019
41,3,19,5,25,"22:00:00",5,1,2019
37,4,8,1,27,"23:00:00",5,1,2019
19,1,4,3,19,"00:00:00",6,1,2019
9,1,1,1,14,"01:00:00",6,1,2019
11,1,1,4,10,"02:00:00",6,1,2019
9,1,1,3,6,"03:00:00",6,1,2019
9,1,3,2,6,"04:00:00",6,1,2019
8,1,8,6,5,"05:00:00",6,1,2019
20,0,12,16,6,"06:00:00",6,1,2019
33,0,18,17,8,"07:00:00",6,1,2019
42,0,22,20,15,"08:00:00",6,1,2019
57,2,31,24,13,"09:00:00",6,1,2019
59,2,27,29,21,"10:00:00",6,1,2019
76,4,28,33,16,"11:00:00",6,1,2019
65,2,30,29,32,"12:00:00",6,1,2019
80,5,36,33,36,"13:00:00",6,1,2019
91,6,31,45,31,"14:00:00",6,1,2019
67,6,33,35,45,"15:00:00",6,1,2019
86,3,25,32,48,"16:00:00",6,1,2019
81,3,20,16,33,"17:00:00",6,1,2019
74,1,21,6,32,"18:00:00",6,1,2019
66,2,30,8,33,"19:00:00",6,1,2019
57,4,19,12,24,"20:00:00",6,1,2019
28,1,8,5,20,"21:00:00",6,1,2019
26,0,12,4,23,"22:00:00",6,1,2019
18,2,8,4,14,"23:00:00",6,1,2019
12,2,0,6,12,"00:00:00",7,1,2019
5,0,0,0,5,"01:00:00",7,1,2019
3,0,1,1,4,"02:00:00",7,1,2019
4,1,1,1,1,"03:00:00",7,1,2019
10,0,4,7,7,"04:00:00",7,1,2019
35,0,27,17,5,"05:00:00",7,1,2019
126,4,99,72,13,"06:00:00",7,1,2019
398,12,146,130,40,"07:00:00",7,1,2019
940,23,263,410,66,"08:00:00",7,1,2019
340,18,154,265,30,"09:00:00",7,1,2019
79,5,56,68,27,"10:00:00",7,1,2019
55,2,27,35,21,"11:00:00",7,1,2019
73,10,27,32,38,"12:00:00",7,1,2019
89,8,34,52,47,"13:00:00",7,1,2019
78,2,32,35,46,"14:00:00",7,1,2019
92,2,30,38,68,"15:00:00",7,1,2019
236,6,81,64,193,"16:00:00",7,1,2019
520,24,164,83,473,"17:00:00",7,1,2019
436,7,118,46,371,"18:00:00",7,1,2019
185,6,62,3,102,"19:00:00",7,1,2019
113,5,40,3,64,"20:00:00",7,1,2019
73,3,18,9,48,"21:00:00",7,1,2019
49,1,14,13,36,"22:00:00",7,1,2019
21,1,11,1,15,"23:00:00",7,1,2019
11,3,5,3,13,"00:00:00",8,1,2019
1,0,0,0,7,"01:00:00",8,1,2019
2,0,2,2,5,"02:00:00",8,1,2019
2,2,1,1,6,"03:00:00",8,1,2019
10,0,2,5,5,"04:00:00",8,1,2019
34,0,26,23,5,"05:00:00",8,1,2019
132,4,95,76,13,"06:00:00",8,1,2019
424,12,144,151,51,"07:00:00",8,1,2019
963,24,277,464,71,"08:00:00",8,1,2019
347,14,166,226,29,"09:00:00",8,1,2019
83,3,34,77,19,"10:00:00",8,1,2019
76,3,32,39,18,"11:00:00",8,1,2019
75,12,34,41,55,"12:00:00",8,1,2019
94,3,43,43,59,"13:00:00",8,1,2019
85,8,32,40,58,"14:00:00",8,1,2019
125,3,44,39,68,"15:00:00",8,1,2019
267,9,71,67,169,"16:00:00",8,1,2019
543,15,169,88,480,"17:00:00",8,1,2019
478,10,137,51,410,"18:00:00",8,1,2019
247,4,76,8,106,"19:00:00",8,1,2019
126,3,39,3,59,"20:00:00",8,1,2019
84,6,12,3,51,"21:00:00",8,1,2019
63,3,16,7,43,"22:00:00",8,1,2019
33,1,8,5,27,"23:00:00",8,1,2019
16,2,4,2,8,"00:00:00",9,1,2019
7,0,3,0,8,"01:00:00",9,1,2019
3,0,0,0,4,"02:00:00",9,1,2019
1,0,2,1,1,"03:00:00",9,1,2019
14,2,2,7,5,"04:00:00",9,1,2019
34,0,21,24,6,"05:00:00",9,1,2019
136,1,98,76,9,"06:00:00",9,1,2019
372,8,150,155,55,"07:00:00",9,1,2019
944,28,303,460,73,"08:00:00",9,1,2019
351,21,183,245,36,"09:00:00",9,1,2019
93,2,51,52,19,"10:00:00",9,1,2019
72,2,37,35,18,"11:00:00",9,1,2019
83,8,42,49,40,"12:00:00",9,1,2019
115,5,44,54,55,"13:00:00",9,1,2019
89,5,28,37,66,"14:00:00",9,1,2019
124,4,37,37,74,"15:00:00",9,1,2019
235,10,78,50,183,"16:00:00",9,1,2019
533,15,161,89,412,"17:00:00",9,1,2019
476,16,138,33,330,"18:00:00",9,1,2019
237,2,70,19,158,"19:00:00",9,1,2019
127,3,38,7,76,"20:00:00",9,1,2019
90,3,25,4,46,"21:00:00",9,1,2019
63,2,28,2,27,"22:00:00",9,1,2019
33,1,12,6,39,"23:00:00",9,1,2019
14,1,4,4,12,"00:00:00",10,1,2019
10,1,0,2,6,"01:00:00",10,1,2019
3,0,0,0,1,"02:00:00",10,1,2019
7,0,1,1,7,"03:00:00",10,1,2019
6,0,3,5,6,"04:00:00",10,1,2019
33,0,22,21,4,"05:00:00",10,1,2019
131,5,114,74,9,"06:00:00",10,1,2019
384,9,122,164,52,"07:00:00",10,1,2019
898,29,262,438,73,"08:00:00",10,1,2019
354,17,165,224,36,"09:00:00",10,1,2019
110,2,32,63,20,"10:00:00",10,1,2019
80,1,28,50,21,"11:00:00",10,1,2019
82,5,35,47,45,"12:00:00",10,1,2019
95,10,50,39,51,"13:00:00",10,1,2019
98,3,25,25,48,"14:00:00",10,1,2019
122,7,52,35,69,"15:00:00",10,1,2019
233,14,65,59,139,"16:00:00",10,1,2019
512,10,157,65,338,"17:00:00",10,1,2019
453,10,129,38,252,"18:00:00",10,1,2019
226,5,61,23,123,"19:00:00",10,1,2019
127,3,40,14,91,"20:00:00",10,1,2019
84,6,37,4,57,"21:00:00",10,1,2019
58,1,21,11,47,"22:00:00",10,1,2019
36,2,13,7,35,"23:00:00",10,1,2019
20,1,0,5,16,"00:00:00",11,1,2019
11,0,1,1,6,"01:00:00",11,1,2019
6,0,0,1,5,"02:00:00",11,1,2019
6,4,1,2,8,"03:00:00",11,1,2019
13,0,4,4,6,"04:00:00",11,1,2019
25,0,23,20,5,"05:00:00",11,1,2019
116,2,110,86,9,"06:00:00",11,1,2019
350,11,117,165,61,"07:00:00",11,1,2019
722,22,261,423,69,"08:00:00",11,1,2019
345,9,141,184,32,"09:00:00",11,1,2019
97,5,33,58,26,"10:00:00",11,1,2019
90,2,31,39,25,"11:00:00",11,1,2019
107,1,47,43,58,"12:00:00",11,1,2019
125,5,42,56,69,"13:00:00",11,1,2019
107,4,37,44,61,"14:00:00",11,1,2019
145,1,57,34,72,"15:00:00",11,1,2019
261,5,92,64,193,"16:00:00",11,1,2019
470,7,159,75,400,"17:00:00",11,1,2019
329,10,96,37,248,"18:00:00",11,1,2019
179,3,48,6,68,"19:00:00",11,1,2019
98,5,39,5,46,"20:00:00",11,1,2019
56,5,18,10,53,"21:00:00",11,1,2019
56,2,16,6,38,"22:00:00",11,1,2019
30,2,13,4,28,"23:00:00",11,1,2019
25,2,4,4,21,"00:00:00",12,1,2019
17,2,2,2,15,"01:00:00",12,1,2019
11,1,2,1,9,"02:00:00",12,1,2019
12,2,1,1,10,"03:00:00",12,1,2019
8,3,1,1,8,"04:00:00",12,1,2019
10,1,7,9,4,"05:00:00",12,1,2019
30,0,27,14,5,"06:00:00",12,1,2019
67,1,35,25,10,"07:00:00",12,1,2019
71,1,26,37,10,"08:00:00",12,1,2019
72,0,48,47,17,"09:00:00",12,1,2019
62,5,29,26,23,"10:00:00",12,1,2019
70,4,38,26,26,"11:00:00",12,1,2019
100,8,54,56,41,"12:00:00",12,1,2019
91,6,38,43,56,"13:00:00",12,1,2019
91,4,37,37,40,"14:00:00",12,1,2019
106,7,37,35,49,"15:00:00",12,1,2019
88,6,37,12,39,"16:00:00",12,1,2019
102,5,35,23,61,"17:00:00",12,1,2019
110,3,28,21,41,"18:00:00",12,1,2019
86,0,24,6,29,"19:00:00",12,1,2019
55,5,15,12,31,"20:00:00",12,1,2019
44,4,8,4,16,"21:00:00",12,1,2019
41,4,13,5,16,"22:00:00",12,1,2019
38,3,13,7,29,"23:00:00",12,1,2019
33,2,7,9,20,"00:00:00",13,1,2019
15,1,4,2,6,"01:00:00",13,1,2019
10,4,2,2,5,"02:00:00",13,1,2019
14,1,3,1,15,"03:00:00",13,1,2019
12,0,3,2,5,"04:00:00",13,1,2019
7,2,6,9,4,"05:00:00",13,1,2019
23,1,10,14,4,"06:00:00",13,1,2019
28,0,21,12,8,"07:00:00",13,1,2019
45,1,28,19,11,"08:00:00",13,1,2019
50,2,12,23,17,"09:00:00",13,1,2019
45,0,26,21,15,"10:00:00",13,1,2019
75,0,35,22,20,"11:00:00",13,1,2019
93,4,11,11,18,"12:00:00",13,1,2019
60,2,19,19,32,"13:00:00",13,1,2019
76,1,40,23,16,"14:00:00",13,1,2019
60,0,28,34,32,"15:00:00",13,1,2019
81,1,25,22,31,"16:00:00",13,1,2019
71,3,29,9,27,"17:00:00",13,1,2019
64,6,20,8,20,"18:00:00",13,1,2019
60,7,26,2,18,"19:00:00",13,1,2019
47,0,13,5,17,"20:00:00",13,1,2019
39,3,15,12,34,"21:00:00",13,1,2019
20,2,12,9,25,"22:00:00",13,1,2019
18,0,7,3,18,"23:00:00",13,1,2019
18,1,4,2,11,"00:00:00",14,1,2019
2,0,2,1,4,"01:00:00",14,1,2019
3,0,1,0,3,"02:00:00",14,1,2019
3,1,1,2,3,"03:00:00",14,1,2019
10,2,4,4,4,"04:00:00",14,1,2019
34,1,27,19,6,"05:00:00",14,1,2019
141,3,114,104,14,"06:00:00",14,1,2019
377,7,128,162,40,"07:00:00",14,1,2019
1011,31,282,490,57,"08:00:00",14,1,2019
359,15,172,254,29,"09:00:00",14,1,2019
77,5,36,77,15,"10:00:00",14,1,2019
76,4,43,49,23,"11:00:00",14,1,2019
85,6,32,51,37,"12:00:00",14,1,2019
102,4,36,43,56,"13:00:00",14,1,2019
101,5,36,28,62,"14:00:00",14,1,2019
125,5,50,28,72,"15:00:00",14,1,2019
244,7,87,58,157,"16:00:00",14,1,2019
551,12,190,85,447,"17:00:00",14,1,2019
508,8,153,52,323,"18:00:00",14,1,2019
232,6,73,4,97,"19:00:00",14,1,2019
126,3,32,3,45,"20:00:00",14,1,2019
87,4,21,7,57,"21:00:00",14,1,2019
56,0,18,11,35,"22:00:00",14,1,2019
19,1,7,4,24,"23:00:00",14,1,2019
6,2,3,1,11,"00:00:00",15,1,2019
4,0,0,0,4,"01:00:00",15,1,2019
5,0,1,2,2,"02:00:00",15,1,2019
5,2,1,1,7,"03:00:00",15,1,2019
7,0,4,5,2,"04:00:00",15,1,2019
33,2,27,22,7,"05:00:00",15,1,2019
140,4,120,76,19,"06:00:00",15,1,2019
443,14,167,217,52,"07:00:00",15,1,2019
964,31,297,450,67,"08:00:00",15,1,2019
411,18,154,247,38,"09:00:00",15,1,2019
107,5,46,70,16,"10:00:00",15,1,2019
72,1,32,51,19,"11:00:00",15,1,2019
95,4,34,51,51,"12:00:00",15,1,2019
120,5,41,42,53,"13:00:00",15,1,2019
85,2,29,24,69,"14:00:00",15,1,2019
116,5,50,36,74,"15:00:00",15,1,2019
265,6,79,71,178,"16:00:00",15,1,2019
555,14,175,71,438,"17:00:00",15,1,2019
492,7,148,25,358,"18:00:00",15,1,2019
251,7,75,11,150,"19:00:00",15,1,2019
171,7,39,14,80,"20:00:00",15,1,2019
98,7,26,13,59,"21:00:00",15,1,2019
53,4,22,8,23,"22:00:00",15,1,2019
34,1,11,10,0,"23:00:00",15,1,2019
9,1,2,0,0,"00:00:00",16,1,2019
5,1,1,0,2,"01:00:00",16,1,2019
5,0,0,0,2,"02:00:00",16,1,2019
4,2,2,1,5,"03:00:00",16,1,2019
7,0,4,6,4,"04:00:00",16,1,2019
36,0,25,18,5,"05:00:00",16,1,2019
134,1,116,97,21,"06:00:00",16,1,2019
397,13,163,172,46,"07:00:00",16,1,2019
881,32,279,484,76,"08:00:00",16,1,2019
347,14,173,243,33,"09:00:00",16,1,2019
108,2,39,54,28,"10:00:00",16,1,2019
69,1,35,46,18,"11:00:00",16,1,2019
83,8,35,58,47,"12:00:00",16,1,2019
125,7,46,67,62,"13:00:00",16,1,2019
115,6,37,50,65,"14:00:00",16,1,2019
115,7,33,41,77,"15:00:00",16,1,2019
238,5,74,43,176,"16:00:00",16,1,2019
515,10,156,92,427,"17:00:00",16,1,2019
447,7,141,42,335,"18:00:00",16,1,2019
203,2,68,15,139,"19:00:00",16,1,2019
129,6,45,5,64,"20:00:00",16,1,2019
103,2,27,7,59,"21:00:00",16,1,2019
62,2,29,11,49,"22:00:00",16,1,2019
33,2,9,8,30,"23:00:00",16,1,2019
12,1,7,1,13,"00:00:00",17,1,2019
9,1,1,1,8,"01:00:00",17,1,2019
3,0,1,0,3,"02:00:00",17,1,2019
3,1,1,2,4,"03:00:00",17,1,2019
11,0,5,4,6,"04:00:00",17,1,2019
30,3,22,19,1,"05:00:00",17,1,2019
131,4,111,76,13,"06:00:00",17,1,2019
365,10,118,169,40,"07:00:00",17,1,2019
957,35,299,412,70,"08:00:00",17,1,2019
367,14,151,239,37,"09:00:00",17,1,2019
98,8,52,52,20,"10:00:00",17,1,2019
77,3,36,51,25,"11:00:00",17,1,2019
98,9,38,53,51,"12:00:00",17,1,2019
105,3,46,58,55,"13:00:00",17,1,2019
92,6,31,39,48,"14:00:00",17,1,2019
137,4,38,18,74,"15:00:00",17,1,2019
261,7,89,63,183,"16:00:00",17,1,2019
506,11,156,57,365,"17:00:00",17,1,2019
446,6,142,13,160,"18:00:00",17,1,2019
240,6,62,3,72,"19:00:00",17,1,2019
128,5,31,7,73,"20:00:00",17,1,2019
96,4,21,4,45,"21:00:00",17,1,2019
54,3,19,5,42,"22:00:00",17,1,2019
32,5,14,6,28,"23:00:00",17,1,2019
19,0,8,0,21,"00:00:00",18,1,2019
11,0,4,1,9,"01:00:00",18,1,2019
5,0,1,2,6,"02:00:00",18,1,2019
11,1,1,0,5,"03:00:00",18,1,2019
8,0,5,7,3,"04:00:00",18,1,2019
28,3,22,21,4,"05:00:00",18,1,2019
107,2,98,50,10,"06:00:00",18,1,2019
324,12,116,86,44,"07:00:00",18,1,2019
719,25,230,342,52,"08:00:00",18,1,2019
313,9,139,197,19,"09:00:00",18,1,2019
102,3,34,44,15,"10:00:00",18,1,2019
81,4,33,33,12,"11:00:00",18,1,2019
81,8,40,48,41,"12:00:00",18,1,2019
130,4,43,45,65,"13:00:00",18,1,2019
133,4,42,35,55,"14:00:00",18,1,2019
128,4,44,38,82,"15:00:00",18,1,2019
235,3,89,42,174,"16:00:00",18,1,2019
407,12,121,73,321,"17:00:00",18,1,2019
295,8,93,35,227,"18:00:00",18,1,2019
181,12,42,4,79,"19:00:00",18,1,2019
112,7,32,6,49,"20:00:00",18,1,2019
84,2,15,14,63,"21:00:00",18,1,2019
57,3,26,14,39,"22:00:00",18,1,2019
36,1,18,7,37,"23:00:00",18,1,2019
28,1,6,4,20,"00:00:00",19,1,2019
24,1,3,1,12,"01:00:00",19,1,2019
12,0,5,1,14,"02:00:00",19,1,2019
10,1,1,1,9,"03:00:00",19,1,2019
12,0,3,5,8,"04:00:00",19,1,2019
14,2,8,13,3,"05:00:00",19,1,2019
27,0,26,15,9,"06:00:00",19,1,2019
66,1,41,31,11,"07:00:00",19,1,2019
53,2,19,42,6,"08:00:00",19,1,2019
80,3,19,37,25,"09:00:00",19,1,2019
72,2,22,26,15,"10:00:00",19,1,2019
67,3,23,41,25,"11:00:00",19,1,2019
89,2,39,36,49,"12:00:00",19,1,2019
116,6,42,17,29,"13:00:00",19,1,2019
85,5,31,20,36,"14:00:00",19,1,2019
91,6,31,19,40,"15:00:00",19,1,2019
70,9,38,26,50,"16:00:00",19,1,2019
108,6,20,18,47,"17:00:00",19,1,2019
64,4,29,8,28,"18:00:00",19,1,2019
68,4,19,4,26,"19:00:00",19,1,2019
54,4,14,6,15,"20:00:00",19,1,2019
42,1,12,8,20,"21:00:00",19,1,2019
42,0,18,4,17,"22:00:00",19,1,2019
38,1,10,7,28,"23:00:00",19,1,2019
18,4,7,1,11,"00:00:00",20,1,2019
13,2,1,1,12,"01:00:00",20,1,2019
9,2,1,3,11,"02:00:00",20,1,2019
5,0,3,1,9,"03:00:00",20,1,2019
14,1,1,2,5,"04:00:00",20,1,2019
6,1,5,8,6,"05:00:00",20,1,2019
17,0,14,17,7,"06:00:00",20,1,2019
31,0,23,22,11,"07:00:00",20,1,2019
48,1,20,19,6,"08:00:00",20,1,2019
51,1,14,18,15,"09:00:00",20,1,2019
56,1,26,22,9,"10:00:00",20,1,2019
59,5,27,23,19,"11:00:00",20,1,2019
100,6,35,25,25,"12:00:00",20,1,2019
81,7,30,22,32,"13:00:00",20,1,2019
84,2,30,33,27,"14:00:00",20,1,2019
104,4,33,17,37,"15:00:00",20,1,2019
75,5,21,39,40,"16:00:00",20,1,2019
86,2,37,12,26,"17:00:00",20,1,2019
77,4,23,2,38,"18:00:00",20,1,2019
78,0,16,2,27,"19:00:00",20,1,2019
56,3,12,4,12,"20:00:00",20,1,2019
33,0,19,1,20,"21:00:00",20,1,2019
29,3,13,4,19,"22:00:00",20,1,2019
23,0,12,2,22,"23:00:00",20,1,2019
5,0,3,2,15,"00:00:00",21,1,2019
5,0,0,0,14,"01:00:00",21,1,2019
2,0,0,2,4,"02:00:00",21,1,2019
2,1,1,0,3,"03:00:00",21,1,2019
9,1,4,5,1,"04:00:00",21,1,2019
41,1,25,20,3,"05:00:00",21,1,2019
122,3,99,83,14,"06:00:00",21,1,2019
367,8,136,154,43,"07:00:00",21,1,2019
938,20,270,380,58,"08:00:00",21,1,2019
356,15,147,240,29,"09:00:00",21,1,2019
97,3,39,78,18,"10:00:00",21,1,2019
57,3,33,38,18,"11:00:00",21,1,2019
85,3,31,56,45,"12:00:00",21,1,2019
91,5,27,37,45,"13:00:00",21,1,2019
102,2,32,35,58,"14:00:00",21,1,2019
108,3,42,27,57,"15:00:00",21,1,2019
221,7,64,30,165,"16:00:00",21,1,2019
498,9,165,79,370,"17:00:00",21,1,2019
434,8,128,15,286,"18:00:00",21,1,2019
244,2,61,5,130,"19:00:00",21,1,2019
96,2,17,9,56,"20:00:00",21,1,2019
76,1,24,3,50,"21:00:00",21,1,2019
61,1,10,6,42,"22:00:00",21,1,2019
17,3,14,4,29,"23:00:00",21,1,2019
4,2,7,2,12,"00:00:00",22,1,2019
4,0,2,0,6,"01:00:00",22,1,2019
0,0,2,2,0,"02:00:00",22,1,2019
4,2,1,2,1,"03:00:00",22,1,2019
9,0,4,7,2,"04:00:00",22,1,2019
33,2,28,18,5,"05:00:00",22,1,2019
126,5,111,88,11,"06:00:00",22,1,2019
375,11,150,99,45,"07:00:00",22,1,2019
967,32,265,436,50,"08:00:00",22,1,2019
353,13,139,194,31,"09:00:00",22,1,2019
98,6,50,66,18,"10:00:00",22,1,2019
85,3,25,42,19,"11:00:00",22,1,2019
74,7,38,47,33,"12:00:00",22,1,2019
112,4,30,28,40,"13:00:00",22,1,2019
86,5,40,21,46,"14:00:00",22,1,2019
109,3,41,27,73,"15:00:00",22,1,2019
237,6,72,53,174,"16:00:00",22,1,2019
488,9,167,89,437,"17:00:00",22,1,2019
489,4,130,30,249,"18:00:00",22,1,2019
221,5,60,2,123,"19:00:00",22,1,2019
159,5,32,0,46,"20:00:00",22,1,2019
79,3,25,2,54,"21:00:00",22,1,2019
60,3,18,4,25,"22:00:00",22,1,2019
26,2,10,2,16,"23:00:00",22,1,2019
16,2,1,2,13,"00:00:00",23,1,2019
8,0,2,0,7,"01:00:00",23,1,2019
3,0,1,0,5,"02:00:00",23,1,2019
5,1,3,2,6,"03:00:00",23,1,2019
12,0,4,6,4,"04:00:00",23,1,2019
29,0,17,18,2,"05:00:00",23,1,2019
130,2,102,85,12,"06:00:00",23,1,2019
417,10,133,155,47,"07:00:00",23,1,2019
974,27,283,389,56,"08:00:00",23,1,2019
350,12,172,205,31,"09:00:00",23,1,2019
98,7,40,65,23,"10:00:00",23,1,2019
72,4,34,34,21,"11:00:00",23,1,2019
90,7,34,53,35,"12:00:00",23,1,2019
114,7,27,61,59,"13:00:00",23,1,2019
100,5,42,25,57,"14:00:00",23,1,2019
136,3,42,38,69,"15:00:00",23,1,2019
233,7,80,49,147,"16:00:00",23,1,2019
475,8,153,85,396,"17:00:00",23,1,2019
464,11,141,33,308,"18:00:00",23,1,2019
264,3,70,6,117,"19:00:00",23,1,2019
134,1,44,5,45,"20:00:00",23,1,2019
103,4,30,0,50,"21:00:00",23,1,2019
57,1,18,7,44,"22:00:00",23,1,2019
38,1,8,4,31,"23:00:00",23,1,2019
24,1,9,2,15,"00:00:00",24,1,2019
12,1,0,1,4,"01:00:00",24,1,2019
4,0,2,2,3,"02:00:00",24,1,2019
9,0,1,1,4,"03:00:00",24,1,2019
5,1,3,5,3,"04:00:00",24,1,2019
37,1,32,20,5,"05:00:00",24,1,2019
118,2,102,75,13,"06:00:00",24,1,2019
344,15,122,163,39,"07:00:00",24,1,2019
820,28,261,395,70,"08:00:00",24,1,2019
346,11,145,208,33,"09:00:00",24,1,2019
92,3,38,60,16,"10:00:00",24,1,2019
69,2,39,28,15,"11:00:00",24,1,2019
84,2,36,37,37,"12:00:00",24,1,2019
89,5,38,24,37,"13:00:00",24,1,2019
87,3,27,33,60,"14:00:00",24,1,2019
114,5,33,20,54,"15:00:00",24,1,2019
199,4,68,56,154,"16:00:00",24,1,2019
473,15,125,92,339,"17:00:00",24,1,2019
456,6,118,42,273,"18:00:00",24,1,2019
248,5,53,9,75,"19:00:00",24,1,2019
145,10,28,6,65,"20:00:00",24,1,2019
99,4,21,3,59,"21:00:00",24,1,2019
63,2,17,7,30,"22:00:00",24,1,2019
39,5,6,10,38,"23:00:00",24,1,2019
27,0,5,8,17,"00:00:00",25,1,2019
6,0,2,1,9,"01:00:00",25,1,2019
8,0,4,0,3,"02:00:00",25,1,2019
2,1,1,0,6,"03:00:00",25,1,2019
